Date,Day of the week,App (Use all CAPITALS),Minutes,Category
8/27,Sunday,TIKTOK,70,Social Media
8/27,Sunday,SPOTIFY,62,Entertainment
8/27,Sunday,SNAPCHAT,55,Social Media
8/27,Sunday,INSTAGRAM,51,Social Media
8/27,Sunday,MESSAGES,20,Social Media
8/27,Sunday,PHOTOS,2,Other
8/27,Sunday,WHATSAPP,2,Social Media
8/28,Monday,TIKTOK,322,Social Media
8/28,Monday,SPOTIFY,95,Entertainment
8/28,Monday,SNAPCHAT,79,Social Media
8/28,Monday,INSTAGRAM,22,Social Media
8/28,Monday,SAFARI,20,Other
8/28,Monday,CLOCK,10,Other
8/28,Monday,MESSAGES,8,Social Media
8/28,Monday,AMAZON,3,Other
8/28,Monday,GMAIL,3,Other
8/28,Monday,CAMERA,3,Other
8/28,Monday,SETTINGS,2,Other
8/28,Monday,PHONE,2,Other
8/28,Monday,PIXEL ART,2,Other
8/29,Tuesday,TIKTOK,473,Social Media
8/29,Tuesday,DOORDASH,52,Other
8/29,Tuesday,SAFARI,43,Other
8/29,Tuesday,INSTAGRAM,39,Social Media
8/29,Tuesday,SPOTIFY,25,Entertainment
8/29,Tuesday,SNAPCHAT,18,Social Media
8/29,Tuesday,PHOTOS,16,Other
8/29,Tuesday,WHATSAPP,15,Social Media
8/29,Tuesday,MESSAGES,8,Social Media
8/29,Tuesday,X,4,Social Media
8/29,Tuesday,GOOGLE MAPS,2,Travel
8/29,Tuesday,CLOCK,2,Other
8/30,Wednesday,TIKTOK,303,Social Media
8/30,Wednesday,INSTAGRAM,51,Social Media
8/30,Wednesday,SNAPCHAT,34,Social Media
8/30,Wednesday,SPOTIFY,23,Entertainment
8/30,Wednesday,CAMERA,21,Other
8/30,Wednesday,GMAIL,9,Other
8/30,Wednesday,SETTINGS,8,Other
8/30,Wednesday,STARBUCKS,4,Other
8/30,Wednesday,PHOTOS,4,Other
8/30,Wednesday,MESSAGES,2,Social Media
8/31,Thursday,SPOTIFY,113,Entertainment
8/31,Thursday,INSTAGRAM,51,Social Media
8/31,Thursday,SNAPCHAT,29,Social Media
8/31,Thursday,PHOTOS,17,Other
8/31,Thursday,TIKTOK,11,Social Media
8/31,Thursday,MESSAGES,11,Social Media
8/31,Thursday,SAFARI,4,Other
8/31,Thursday,WHATSAPP,2,Social Media
8/31,Thursday,GOOGLE MAPS,,Travel
9/1,Friday,TIKTOK,142,Social Media
9/1,Friday,SPOTIFY,133,Entertainment
9/1,Friday,YOUTUBE,76,Social Media
9/1,Friday,SETTINGS,63,Other
9/1,Friday,SNAPCHAT,32,Social Media
9/1,Friday,INSTAGRAM,32,Social Media
9/1,Friday,SAFARI,12,Other
9/1,Friday,MESSAGES,11,Social Media
9/1,Friday,PHOTOS,4,Other
9/1,Friday,CAMERA,3,Other
9/1,Friday,CALCULATOR,3,Other
9/2,Saturday,SPOTIFY,65,Entertainment
9/2,Saturday,SNAPCHAT,51,Social Media
9/2,Saturday,PHOTOS,41,Other
9/2,Sunday,FACETUNE,19,Other
9/2,Saturday,INSTAGRAM,18,Social Media
9/2,Saturday,TIKTOK,17,Social Media
9/2,Saturday,MESSAGES,16,Social Media
9/2,Saturday,SAFARI,4,Other
9/2,Saturday,CLOCK,3,Other
9/2,Saturday,STARBUCKS,2,Other
9/2,Saturday,FACETIME,2,Social Media
