Date,Open,High,Low,Close,Adj Close,Volume,Day
2015-10-22,5945,5975,5895,5975,5888.830078,440,0
2015-10-23,5980,6015,5935,5960,5874.045898,285,1
2015-10-26,5995,6020,5925,6020,5933.181152,668,2
2015-10-27,6000,6000,5940,5945,5859.262695,200,3
2015-10-28,6010,6135,5985,6135,6046.522461,12240,4
2015-10-29,6145,6180,6095,6095,6007.099121,3043,5
2015-10-30,6110,6110,6025,6060,5972.604004,1065,6
2015-11-02,6075,6075,5935,6005,5918.396973,17,7
2015-11-03,6040,6050,6000,6010,5923.324707,205,8
2015-11-04,6025,6100,6025,6075,5987.387695,264,9
2015-11-05,6050,6075,6050,6075,5987.387695,266,10
2015-11-06,6045,6145,6025,6055,5967.67627,2638,11
2015-11-09,6055,6055,5825,5835,5750.849121,4574,12
2015-11-10,5735,5750,5600,5655,5573.445313,4642,13
2015-11-11,5670,5675,5625,5675,5593.156738,241,14
2015-11-12,5755,5755,5710,5725,5642.435059,133,15
2015-11-13,5655,5720,5610,5720,5637.507324,26,16
2015-11-16,5620,5735,5605,5735,5652.291016,315,17
2015-11-17,5865,5915,5765,5795,5711.425781,1500,18
2015-11-18,5775,5775,5695,5700,5617.79541,281,19
2015-11-19,5700,5805,5700,5805,5721.28125,569,20
2015-11-20,5785,5815,5780,5810,5726.209961,125,21
2015-11-23,5810,5950,5810,5925,5839.55127,4007,22
2015-11-24,5960,6045,5920,6045,5957.820313,1356,23
2015-11-25,6075,6105,6055,6085,5997.243652,11136,24
2015-11-26,6160,6175,6130,6130,6041.594238,4716,25
2015-11-27,6165,6200,6100,6200,6110.584961,361,26
2015-11-30,6190,6190,6060,6125,6036.666504,564,27
2015-12-01,6205,6260,6205,6245,6154.936035,2362,28
2015-12-02,6280,6330,6230,6285,6194.359375,767,29
2015-12-03,6260,6260,6165,6210,6120.440918,1034,30
2015-12-04,6135,6195,6115,6145,6056.378418,1170,31
2015-12-07,6125,6125,6070,6070,5982.459473,238,32
2015-12-08,6015,6015,5960,5975,5888.830078,35,33
2015-12-09,6025,6030,5945,5945,5859.262695,156,34
2015-12-10,5925,5945,5825,5855,5770.560059,1497,35
2015-12-11,5870,5900,5805,5805,5721.28125,659,36
2015-12-14,5680,5680,5590,5615,5534.021484,770,37
2015-12-15,5685,5700,5685,5700,5617.79541,1829,38
2015-12-16,5780,5930,5780,5880,5795.199707,3397,39
2015-12-17,5950,5995,5905,5940,5854.334961,1822,40
2015-12-18,5905,5970,5870,5970,5883.901855,4347,41
2015-12-21,6005,6030,6005,6030,5943.037109,99,42
2015-12-22,6000,6000,5940,5950,5864.19043,1272,43
2015-12-23,5955,5955,5915,5920,5834.623535,269,44
2015-12-24,5930,5940,5865,5865,5780.416504,2164,45
2015-12-28,5870,5870,5815,5815,5731.137695,5502,46
2015-12-29,5880,6100,5880,6100,6012.027344,1664,47
2015-12-30,6130,6140,6100,6140,6051.450684,261,48
2016-01-04,6150,6160,6050,6050,5962.748535,2539,49
2016-01-05,5960,6035,5960,6030,5943.037109,1743,50
2016-01-06,6030,6155,6005,6150,6061.306152,3524,51
2016-01-07,6085,6380,6085,6230,6140.151855,5304,52
2016-01-08,6160,6250,6155,6250,6159.86377,521,53
2016-01-11,6230,6305,6140,6140,6051.450684,3507,54
2016-01-12,6190,6205,6070,6070,5982.459473,467,55
2016-01-13,6130,6195,6130,6195,6105.657227,2229,56
2016-01-14,6100,6165,5990,6045,5957.820313,1051,57
2016-01-15,6125,6125,5870,5895,5809.983887,3599,58
2016-01-18,5800,5880,5775,5880,5795.199707,12417,59
2016-01-19,5910,5930,5855,5910,5824.76709,207990,60
2016-01-20,5980,5990,5700,5825,5740.993164,2040,61
2016-01-21,5815,5815,5710,5715,5632.57959,2157,62
2016-01-22,5755,5785,5715,5780,5696.64209,2052,63
2016-01-25,5840,5950,5835,5945,5859.262695,1849,64
2016-01-26,5925,5955,5880,5935,5849.406738,6289,65
2016-01-27,5985,5985,5920,5925,5839.55127,3821,66
2016-01-28,5925,5970,5900,5955,5869.118164,1131,67
2016-01-29,5965,6015,5940,6015,5928.25293,2052,68
2016-02-01,6100,6170,6075,6170,6081.017578,422,69
2016-02-02,6170,6170,6015,6040,5952.892578,27143,70
2016-02-03,6010,6115,6010,6070,5982.459473,242,71
2016-02-04,6085,6110,6015,6045,5957.820313,2696,72
2016-02-05,6020,6020,5970,6000,5913.469238,63985,73
2016-02-11,5765,5850,5735,5735,5652.291016,6266,74
2016-02-12,5630,5630,5080,5225,5149.646484,158485,75
2016-02-15,5285,5285,5065,5130,5056.016602,4916,76
2016-02-16,5145,5215,5080,5095,5021.520996,5397,77
2016-02-17,5105,5105,4670,4705,4637.145508,13430,78
2016-02-18,4775,4830,4760,4820,4750.486816,101944,79
2016-02-19,4810,4880,4795,4850,4780.054199,21132,80
2016-02-22,4855,4960,4850,4950,4878.612305,7125,81
2016-02-23,5025,5025,4805,4825,4755.414551,24728,82
2016-02-24,4825,4880,4775,4810,4740.631348,29749,83
2016-02-25,4870,5035,4870,5010,4937.74707,22466,84
2016-02-26,5050,5050,4980,5035,4962.38623,2039,85
2016-02-29,5070,5070,4985,4985,4913.106934,13237,86
2016-03-02,5090,5120,5060,5120,5046.160645,10070,87
2016-03-03,5135,5135,5030,5080,5006.737305,10034,88
2016-03-04,5075,5105,5065,5085,5011.665039,1590,89
2016-03-07,5120,5205,5120,5175,5100.367676,12085,90
2016-03-08,5195,5215,5060,5090,5016.592773,7619,91
2016-03-09,5090,5200,5090,5135,5060.944336,1172,92
2016-03-10,5180,5215,5155,5215,5139.790527,7069,93
2016-03-11,5230,5230,5150,5210,5134.862305,351,94
2016-03-14,5255,5255,5185,5245,5169.357422,2226,95
2016-03-15,5245,5375,5245,5340,5262.987793,6805,96
2016-03-16,5370,5595,5355,5590,5509.381836,14507,97
2016-03-17,5645,5645,5510,5510,5430.536133,10810,98
2016-03-18,5535,5535,5460,5505,5425.60791,2520,99
2016-03-21,5510,5560,5465,5465,5386.185059,6518,100
2016-03-22,5470,5470,5365,5365,5287.626953,2841,101
2016-03-23,5400,5460,5365,5365,5287.626953,1201,102
2016-03-24,5365,5440,5345,5415,5336.90625,989,103
2016-03-25,5425,5470,5415,5430,5351.689453,130,104
2016-03-28,5450,5450,5370,5370,5292.554688,1751,105
2016-03-29,5375,5400,5330,5330,5253.131836,726,106
2016-03-30,5380,5410,5360,5360,5282.699219,2401,107
2016-03-31,5370,5390,5310,5370,5292.554688,875,108
2016-04-01,5385,5425,5360,5365,5287.626953,9413,109
2016-04-04,5385,5460,5385,5425,5346.761719,1891,110
2016-04-05,5415,5415,5365,5370,5292.554688,2466,111
2016-04-06,5360,5455,5335,5440,5361.545898,24434,112
2016-04-07,5440,5445,5435,5445,5366.473633,1862,113
2016-04-08,5450,5470,5445,5465,5386.185059,12922,114
2016-04-11,5465,5465,5390,5390,5312.26709,1045,115
2016-04-12,5400,5410,5315,5315,5238.348145,2297,116
2016-04-14,5350,5360,5235,5245,5169.357422,5086,117
2016-04-15,5275,5275,5220,5255,5179.213867,4673,118
2016-04-18,5265,5460,5265,5460,5381.256836,3090,119
2016-04-19,5495,5495,5410,5425,5346.761719,5963,120
2016-04-20,5450,5450,5385,5385,5307.339355,6391,121
2016-04-21,5410,5550,5410,5535,5455.175293,9126,122
2016-04-22,5545,5655,5505,5635,5553.733398,27389,123
2016-04-25,5700,5735,5665,5730,5647.363281,14053,124
2016-04-26,5750,5785,5680,5720,5637.507324,58542,125
2016-04-27,5745,5745,5670,5675,5593.156738,8237,126
2016-04-28,5665,5695,5615,5635,5578.307129,1250,127
2016-04-29,5655,5675,5600,5675,5617.904785,1163,128
2016-05-02,5680,5735,5640,5645,5588.206543,490,129
2016-05-03,5655,5765,5655,5765,5706.999512,25833,130
2016-05-04,5755,5820,5725,5765,5706.999512,6762,131
2016-05-09,5795,5970,5795,5970,5909.936523,9282,132
2016-05-10,6005,6010,5925,5960,5900.037109,4334,133
2016-05-11,5990,5990,5900,5915,5855.489746,4211,134
2016-05-12,5910,5940,5900,5930,5870.339355,1215,135
2016-05-13,5925,5945,5885,5945,5885.188477,1487,136
2016-05-16,5910,5960,5880,5925,5865.389648,31550,137
2016-05-17,5920,5920,5845,5895,5835.691406,567,138
2016-05-18,5835,5835,5705,5705,5647.603027,5475,139
2016-05-19,5690,5705,5595,5645,5588.206543,5699,140
2016-05-20,5685,5750,5685,5720,5662.452148,3044,141
2016-05-23,5730,5760,5685,5760,5702.049805,770,142
2016-05-24,5710,5715,5680,5685,5627.804199,680,143
2016-05-25,5730,5760,5695,5750,5692.149902,2563,144
2016-05-26,5720,5755,5660,5670,5612.955078,2215,145
2016-05-27,5630,5710,5620,5710,5652.552734,2230,146
2016-05-30,5680,5700,5620,5680,5622.854492,3745,147
2016-05-31,5680,5780,5660,5780,5721.848633,4082,148
2016-06-01,5775,5880,5775,5880,5820.842285,3231,149
2016-06-02,5890,6050,5880,6050,5989.131836,15875,150
2016-06-03,6065,6065,5975,6030,5969.333496,1864,151
2016-06-07,6040,6085,6040,6050,5989.131836,2149,152
2016-06-08,6050,6130,5985,6120,6058.427734,6810,153
2016-06-09,6115,6120,6020,6065,6003.980957,2085,154
2016-06-10,6035,6035,5970,6020,5959.433594,1245,155
2016-06-13,5940,6005,5940,5955,5895.087402,588,156
2016-06-14,5955,5985,5895,5955,5895.087402,11401,157
2016-06-15,5910,5985,5910,5955,5895.087402,477,158
2016-06-16,5945,5965,5840,5840,5781.244629,960,159
2016-06-17,5865,5935,5845,5845,5786.194336,1158,160
2016-06-20,5895,5935,5870,5935,5875.289063,604,161
2016-06-21,5960,6040,5960,6035,5974.283203,12149,162
2016-06-22,6065,6065,6005,6005,5944.584473,1523,163
2016-06-23,6000,6000,5930,5965,5904.986816,750,164
2016-06-24,6000,6000,5590,5745,5687.200195,4684,165
2016-06-27,5545,5775,5545,5775,5716.898926,1230,166
2016-06-28,5735,5890,5735,5890,5830.741699,16928,167
2016-06-29,5955,6030,5950,6030,5969.333496,3008,168
2016-06-30,6060,6110,6045,6070,6008.930664,10643,169
2016-07-01,6095,6135,6095,6100,6038.628906,2848,170
2016-07-04,6090,6200,6090,6180,6117.82373,4368,171
2016-07-05,6175,6210,6145,6210,6147.522461,2975,172
2016-07-06,6180,6180,6075,6170,6107.924805,15966,173
2016-07-07,6225,6250,6180,6235,6172.270508,2338,174
2016-07-08,6235,6250,5940,5970,5909.936523,13473,175
2016-07-11,5880,5880,5765,5845,5786.194336,29707,176
2016-07-12,5885,5895,5855,5870,5810.942871,9507,177
2016-07-13,5900,5955,5830,5855,5796.09375,8782,178
2016-07-14,5860,5870,5800,5820,5761.446289,7262,179
2016-07-15,5880,5970,5880,5935,5875.289063,1582,180
2016-07-18,5965,6015,5925,6005,5944.584473,3037,181
2016-07-19,6015,6030,5940,5960,5900.037109,4506,182
2016-07-20,5940,5950,5900,5900,5840.641113,1004,183
2016-07-21,5910,5920,5785,5800,5741.646973,3291,184
2016-07-22,5790,5840,5775,5795,5736.697266,12139,185
2016-07-25,5820,5835,5630,5630,5573.357422,6542,186
2016-07-26,5640,5710,5640,5700,5642.652832,1018,187
2016-07-27,5690,5690,5470,5485,5429.816406,33043,188
2016-07-28,5520,5550,5500,5535,5479.312988,13287,189
2016-07-29,5535,5540,5470,5490,5434.766113,4655,190
2016-08-01,5480,5480,5290,5305,5251.626953,31441,191
2016-08-02,5290,5385,5290,5360,5306.07373,8817,192
2016-08-03,5310,5315,5260,5310,5256.57666,14120,193
2016-08-04,5300,5300,5255,5290,5236.77832,4345,194
2016-08-05,5230,5235,5000,5075,5023.941406,25260,195
2016-08-08,5065,5235,5040,5230,5177.381836,16655,196
2016-08-09,5295,5295,5195,5205,5152.633301,9802,197
2016-08-10,5235,5350,5235,5335,5281.325684,27990,198
2016-08-11,5365,5365,5265,5285,5231.828613,12800,199
2016-08-12,5315,5350,5305,5340,5286.275391,6377,200
